Dr. Memory symbol cache version 4
  2512,690688,2139567507877855232,2431457058726739969,691974,1324021538,704512
memmove,0x9e5a
__DrMemory_post_call,0xade8
,0xf5d3
,0x9d45
,0xf4e6
,0xf480
,0xa941
,0x13648
,0x14da2
,0x110ff
,0xf600
,0x10076
,0xfa32
,0x16073
,0x16fd7
,0x15bee
,0x15bf9
,0x157a1
,0x1d181
,0x1d2a3
,0x1cba1
,0x2caff
,0x2cb38
,0x2cb4a
,0x2cb5c
,0x2cb6e
,0x2cb80
,0x2cb92
,0x2cba4
,0x2cbb6
,0x2cbc8
,0x2cbda
,0x2cbec
,0x2cbfe
,0x2cc10
,0x1e79f
,0x1e7d3
,0x1e7e5
,0x1e7f7
,0x1e809
,0x1e81b
,0x1cbeb
,0x1cbf6
,0x1e6f9
,0x1e70c
,0x1e71a
,0x1e725
,0x2c755
,0x2c75d
,0x2c765
,0x2c76d
,0x2c775
,0x2c77d
,0x2c784
,0x2c78c
,0x2c794
,0x2c79c
,0x2c7a4
,0x2c7ac
,0x2c7b4
,0x2c7bc
,0x2c7c4
,0x2c7cc
,0x2c7d7
,0x2c7df
,0x2c7e7
,0x2c7ef
,0x2c7f7
,0x2c7ff
,0x2c807
,0x2c80f
,0x2c817
,0x2c81f
,0x2c827
,0x2c82f
,0x2c837
,0x2c83f
,0x2c847
,0x2c84f
,0x2c85d
,0x2c868
,0x2c873
,0x2c87e
,0x2c889
,0x2c894
,0x2c89f
,0x2c8aa
,0x2c8b5
,0x2c8c0
,0x2c8cb
,0x2c8d6
,0x2c8e1
,0x2c8ec
,0x2c8f7
,0x2c902
,0x2c910
,0x2c91b
,0x2c926
,0x2c931
,0x2c93c
,0x2c947
,0x2c952
,0x2c95d
,0x2c968
,0x2c973
,0x2c97e
,0x2c989
,0x2c994
,0x2c99f
,0x2c9aa
,0x2c9b5
,0x2c9c3
,0x2c9ce
,0x2c9d9
,0x2c9e4
,0x2c9ef
,0x2c9fa
,0x2ca05
,0x2ca10
,0x2ca1b
,0x2ca26
,0x2ca31
,0x2ca3c
,0x2ca47
,0x2ca52
,0x2ca5d
,0x2ca68
,0x2ca76
,0x2ca81
,0x2ca8c
,0x2ca97
,0x2caa2
,0x2caad
,0x1cbbc
,0x1e78b
,0xb0d7
,0x98cd
strrchr,0xdbae
malloc,0x9cee
mallopt,0x0
malloc_stats,0x0
_CrtDbgBreak,0xae64
operator delete,0xb0b9
_CrtSetDbgFlag,0x157db
free,0x9894
cfree,0x0
_nh_malloc_dbg,0x0
_CrtDbgReportWV,0x157db
_CrtDbgReportV,0x157db
_CrtDbgReportW,0x157db
_CrtDbgReport,0x157db
memcpy,0x9910
memchr,0x1e134
memcmp,0x17975
calloc,0xc456
strchr,0xdbeb
strcmp,0x18b11
strcpy,0x18d6e
strcat,0x18d75
wcscmp,0x1d3b7
posix_memalign,0x0
operator new[],0xb100
,0x659e2
operator new,0xb0c9
,0x659e2
sbrk,0x0
wcsncmp,0xb05e
wmemset,0x0
wmemcpy,0x0
wmemchr,0x0
wmemcmp,0x0
valloc,0x0
wcslen,0x1d335
pvalloc,0x0
strncmp,0xb443
strncpy,0x108a9
strncat,0x30909
memset,0x9790
realloc,0xb10d
strlen,0x143d3
realloc_impl,0x0
_free_dbg_impl,0x0
independent_comalloc,0x0
_msize,0xf43b
_realloc_dbg,0x659f7
_realloc_dbg_impl,0x0
crtDbgFlag,0x157db
_msize_dbg,0x0
std::_DebugHeapDelete<>,0x0
_free_dbg,0x65a3a
operator delete[],0xb0f3
independent_calloc,0x0
_malloc_dbg_impl,0x0
_calloc_dbg_impl,0x0
memalign,0x0
malloc_set_state,0x0
calloc_impl,0x0
malloc_impl,0x0
_malloc_dbg,0x65a25
_calloc_dbg,0x65a4f
mallinfo,0x0
malloc_get_state,0x0
malloc_usable_size,0x0
free_impl,0x0
malloc_trim,0x0
